id,t-search,t-entry,e-entry,t-cat,t-syn,t-sample,t-ant,t-def,e-related,t-num,notes
95,ภาส,ภาส,light,N,"แสง, ความสว่าง",,,,brightness,,(บาลี/สันสกฤต)
96,ภาสกร,ภาสกร,sun,N,"พระอาทิตย์, ดวงอาทิตย์",,,,,,(บาลี/สันสกฤต)
97,ภาสน์,ภาสน์,speaking,N,"การพูด, การกล่าว, การบอก",,,,talking; saying; speech,,(บาลี)
98,ภิกขา,ภิกขา,begged food,N,ภิกษา,,,อาหารที่ขอมา,begged alms,,(บาลี/สันสกฤต)
99,ภิกขา,ภิกขา,begging for  food,N,"ภิกษา, ภิกขาจาร",,,การขออาหาร,begging for alms,,(บาลี/สันสกฤต)
100,ภิกขาจาร,ภิกขาจาร,begging of food,N,ภิกขา,พราหมณ์ชูชกเที่ยวทำภิกขาจารเพื่อเลี้ยงชีพ,,"การเที่ยวขออาหาร,",begging for food/alms,,(บาลี)
101,ภิกขาหาร,ภิกขาหาร,begged food,N,ภิกษาหาร,,,อาหารที่ได้มาด้วยการขอ,,,(บาลี)
102,ภิกขุ,ภิกขุ,Buddhist monk,N,ภิกษุ,ศาลฎีกาตัดสินว่าผิดภิกขุรูปนั้นจะต้องสละสมณเพศ,"ภิกขุนี, ภิกษุณี",ชายที่บวชเป็นพระในพระพุทธศาสนา,,รูป,(บาลี)
103,ภิกขุนี,ภิกขุนี,female Buddhist monk,N,ภิกษุณี,,"ภิกขุ, ภิกษุ",หญิงที่บวชเป็นพระในพระพุทธศาสนา,Buddhist nun,รูป,(บาลี)
104,ภิกษา,ภิกษา,begging of food,N,ภิกขา,,,การขออาหาร,begging for alms; soliciting of food,,(บาลี/สันสกฤต)
105,ภิกษา,ภิกษา,begged food,N,ภิกขา,,,อาหารที่ขอมา,,,(บาลี/สันสกฤต)
106,ภิกษาหาร,ภิกษาหาร,begged food,N,"ภิกขา, ภิกษา",,,อาหารที่ได้มาด้วยการขอ,,,(บาลี/สันสกฤต)
107,ภิกษุสงฆ์,ภิกษุสงฆ์,Buddhist monk,N,"ภิกขุ, พระสงฆ์, ภิกษุ, พระภิกษุ",เขาพบว่าชีวิตแห่งการครองตนเป็นภิกษุสงฆ์นั้นได้รับความสงบอย่างยิ่ง,ภิกขุนี,พระผู้ชายในพระพุทธศาสนา,monk,รูป,(บาลี/สันสกฤต)
